GEOID_TRACT_20,GEOID_TRACT_10
13045910704,13045910800
13045910705,13045910701
13045910706,13045910702
13045910707,13045910702
13045910707,13045910703
13045910708,13045910703
13045910709,13045910703
13045910800,13045910800
13045910800,13045911000
13045910900,13045910900
13045911001,13045911000
13045911002,13045911000
13045911101,13045911100
13045911102,13045911100
13045911201,13045911200
13045911202,13045911200
13047030100,13047030100
13047030201,13047030201
13047030201,13047030202
13047030202,13047030201
13047030202,13047030202
13047030303,13047030303
13047030303,13047030304
13047030304,13047030304
13047030305,13047030301
13047030306,13047030301
13047030402,13047030402
13047030403,13047030401
13047030404,13047030401
13047030404,13047030402
13047030501,13047030500
13047030502,13047030500
13047030600,13047030600
13047030701,13047030700
13047030702,13047030700
13049010101,13049010100
13049010102,13049010100
13049010200,13049010100
13049010200,13049010200
13051000601,13051000601
13051001100,13051001100
13051001100,13051003700
13051001100,13051010101
13051001200,13051001200
13051001200,13051003302
13051002000,13051002000
13051002100,13051002100
13051002200,13051002200
13051002300,13051002300
13051002600,13051002600
13051002700,13051002700
13051002800,13051002800
13051002900,13051002900
13051003000,13051003000
13051003301,13051003301
13051003302,13051003301
13051003302,13051003302
13051003400,13051003400
13051003501,13051003501
13051003502,13051003502
13051003601,13051003601
13051003601,13051003602
13051003601,13051010101
13051003602,13051003602
13051003700,13051003700
13051003700,13051010101
13051003800,13051003800
13051003800,13051010102
13051003900,13051003900
13051004001,13051004001
13051004001,13051004400
13051004002,13051004002
13051004002,13051004207
13051004002,13051004210
13051004002,13051004300
13051004100,13051004100
13051004207,13051004207
13051004208,13051004208
13051004209,13051004100
13051004209,13051004208
13051004209,13051004209
13051004210,13051004207
13051004210,13051004210
13051004211,13051004208
13051004211,13051004211
13051004212,13051004208
13051004212,13051004212
13051004212,13051010901
13051004300,13051004300
13051004300,13051004400
13051004400,13051004400
13051004500,13051002300
13051004500,13051004500
13051010102,13051010102
13051010102,13051011106
13051010200,13051010200
13051010502,13051004500
13051010502,13051010502
13051010503,13051010501
13051010504,13051000601
13051010504,13051003301
13051010504,13051003302
13051010504,13051010501
13051010504,13051011600
13051010601,13051010601
13051010603,13051010603
13051010701,13051010603
13051010701,13051010700
13051010701,13051010803
13051010702,13051010700
13051010703,13051010700
13051010704,13051010700
13051010705,13051010700
13051010706,13051010700
13051010707,13051010700
13051010801,13051010801
13051010806,13051004300
13051010806,13051010806
13051010806,13051010807
13051010807,13051010806
